question_id,question_type,question_text,difficulty,primary_tables,expected_output_rows,workflow_complexity,generation_model,generation_timestamp,reference_sql,function_sequence,expected_result_summary,success_criteria
11,sql,What years of budget data are available in the database?,easy,budget_outlays,11,simple_query,gpt-4o,2025-09-01T15:36:31.147618,"SELECT DISTINCT fiscal_year
FROM budget_outlays
WHERE fiscal_year IS NOT NULL
ORDER BY fiscal_year ASC;",,11 rows expected,
12,sql,Which government functions have the most granular spending breakdowns?,hard,budget_outlays,10,advanced,gpt-4o,2025-09-01T15:36:32.998523,"SELECT function_name, COUNT(DISTINCT fiscal_year) AS fiscal_year_count
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
HAVING COUNT(DISTINCT fiscal_year) > 0
ORDER BY fiscal_year_count DESC
LIMIT 10;",,10 rows expected,
13,sql,What types of economic measurements are collected quarterly vs. monthly?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:28:31.768193,"SELECT 
    unit AS economic_measurement_type, 
    COUNT(DISTINCT year) AS number_of_years
FROM 
    industry_gdp
WHERE 
    unit IS NOT NULL
GROUP BY 
    unit
HAVING 
    COUNT(DISTINCT year) > 1
ORDER BY 
    economic_measurement_type;",,0 rows expected,
14,sql,Which datasets include both nominal and real (inflation-adjusted) values?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:36:36.915864,"SELECT DISTINCT source
FROM time_series_data
WHERE category LIKE '%nominal%' OR category LIKE '%real%'
GROUP BY source
HAVING COUNT(DISTINCT category) > 1;",,0 rows expected,
15,sql,What industries contribute more than 5% to total GDP?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:36:40.044032,"SELECT 
    category AS industry,
    SUM(numeric_value) AS total_contribution,
    (SUM(numeric_value) / (SELECT SUM(numeric_value) FROM time_series_data WHERE category = 'GDP' AND numeric_value IS NOT NULL)) * 100 AS percentage_of_gdp
FROM 
    time_series_data
WHERE 
    category != 'GDP' AND numeric_value IS NOT NULL
GROUP BY 
    category
HAVING 
    (SUM(numeric_value) / (SELECT SUM(numeric_value) FROM time_series_data WHERE category = 'GDP' AND numeric_value IS NOT NULL)) * 100 > 5
ORDER BY 
    percentage_of_gdp DESC
LIMIT 20;",,0 rows expected,
16,sql,Which budget categories exceed $1 trillion in total spending?,hard,budget_outlays,0,advanced,gpt-4o,2025-09-01T15:36:41.432905,"SELECT function_name, SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE outlay_amount IS NOT NULL
GROUP BY function_name
HAVING SUM(outlay_amount) > 1000000000000
ORDER BY total_outlays DESC;",,0 rows expected,
17,function,What economic indicators show double-digit percentage changes?,easy,query_economic_data,1,single,single_query,,,"[{""function_name"": ""query_economic_data"", ""arguments"": {""year_range"": [2014, 2024]}, ""expected_response"": {""status"": ""success"", ""data_type"": ""economic"", ""records_returned"": 200, ""query_parameters"": {""year_range"": [2014, 2024]}, ""execution_time"": ""1.2s""}, ""response_type"": ""data""}]",,"Correct function selected for economic data query,Function arguments match question requirements,Query executes successfully"
18,sql,Which industries have GDP contributions below 1%?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:36:43.459018,"SELECT category AS industry, 
       SUM(numeric_value) AS total_gdp_contribution
FROM time_series_data
WHERE category IS NOT NULL
  AND source = 'BEA'
GROUP BY category
HAVING SUM(numeric_value) < (0.01 * (SELECT SUM(numeric_value) FROM time_series_data WHERE category = 'GDP' AND source = 'BEA'))
ORDER BY total_gdp_contribution ASC
LIMIT 20;",,0 rows expected,
19,sql,What spending functions have outlays under $10 billion?,hard,budget_outlays,100,advanced,gpt-4o,2025-09-01T15:36:44.989523,"SELECT function_name, SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE outlay_amount IS NOT NULL
GROUP BY function_name
HAVING SUM(outlay_amount) < 10000000000
ORDER BY total_outlays ASC;",,100 rows expected,
21,sql,What is the full range of years covered in the employment data?,easy,budget_outlays,1,simple_query,gpt-4o,2025-09-01T15:36:46.309064,"SELECT MIN(fiscal_year) AS start_year, MAX(fiscal_year) AS end_year
FROM budget_outlays
WHERE function_name = 'Employment'
  AND fiscal_year IS NOT NULL;",,1 rows expected,
22,sql,Which budget functions appear in every fiscal year?,hard,budget_outlays,100,advanced,gpt-4o,2025-09-01T15:36:48.560762,"SELECT function_name
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
HAVING COUNT(DISTINCT fiscal_year) = (SELECT COUNT(DISTINCT fiscal_year) FROM budget_outlays)
ORDER BY function_name ASC;",,100 rows expected,
23,sql,What seasonal patterns exist in data collection timing?,medium,time_series_data,100,aggregation,gpt-4o,2025-09-02T09:28:58.174156,"SELECT 
    period_name AS season,
    COUNT(DISTINCT record_id) AS data_collection_count
FROM 
    time_series_data
WHERE 
    period_name IS NOT NULL
GROUP BY 
    period_name
ORDER BY 
    data_collection_count DESC;",,100 rows expected,
24,sql,Which economic indicators have the most frequent measurement intervals?,medium,industry_gdp,0,aggregation,gpt-4o,2025-09-02T09:29:03.132024,"SELECT 
    industry_name AS economic_indicator, 
    COUNT(DISTINCT year) AS measurement_intervals
FROM 
    industry_gdp
WHERE 
    industry_name IS NOT NULL
GROUP BY 
    industry_name
ORDER BY 
    measurement_intervals DESC
LIMIT 1;",,0 rows expected,
27,sql,How do defense spending levels compare to social services spending?,medium,budget_outlays,1,aggregation,gpt-4o,2025-09-01T15:36:53.163265,"SELECT 
    function_name, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IN ('National Defense', 'Social Services')
    AND outlay_amount IS NOT NULL
GROUP BY 
    function_name
ORDER BY 
    total_outlays DESC;",,1 rows expected,
28,sql,Which budget functions show the largest year-over-year increases?,easy,budget_outlays,10,join_query,gpt-4o,2025-09-01T15:36:55.921615,"SELECT 
    b1.function_name, 
    b1.fiscal_year, 
    b1.outlay_amount AS current_year_outlay, 
    b2.outlay_amount AS previous_year_outlay, 
    (b1.outlay_amount - b2.outlay_amount) AS year_over_year_increase
FROM 
    budget_outlays b1
JOIN 
    budget_outlays b2 
ON 
    b1.function_name = b2.function_name 
    AND b1.fiscal_year = b2.fiscal_year + 1
WHERE 
    b1.outlay_amount IS NOT NULL 
    AND b2.outlay_amount IS NOT NULL
ORDER BY 
    year_over_year_increase DESC
LIMIT 10;",,10 rows expected,
30,sql,How does current healthcare spending compare to education spending?,medium,budget_outlays,1,aggregation,gpt-4o,2025-09-01T15:36:57.354814,"SELECT 
    function_name, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IN ('Health', 'Education') 
    AND outlay_amount IS NOT NULL
GROUP BY 
    function_name
ORDER BY 
    total_outlays DESC;",,1 rows expected,
31,sql,How do private sector wage increases compare to public sector wage increases?,medium,time_series_data,0,aggregation,gpt-4o,2025-09-02T09:29:25.101703,"SELECT 
    category AS sector,
    AVG(numeric_value) AS average_wage_increase
FROM 
    time_series_data
WHERE 
    indicator_id = 'wage_increase' AND
    category IN ('Private Sector', 'Public Sector') AND
    numeric_value IS NOT NULL
GROUP BY 
    category
ORDER BY 
    average_wage_increase DESC;",,0 rows expected,
33,sql,How do different worker categories compare in total compensation growth?,hard,time_series_data,3,advanced,gpt-4o,2025-09-01T15:37:01.872116,"SELECT 
    category AS worker_category,
    SUM(numeric_value) AS total_compensation_growth
FROM 
    time_series_data
WHERE 
    category IS NOT NULL
    AND source = 'BLS' -- Assuming 'BLS' is the source for worker compensation data
GROUP BY 
    category
HAVING 
    SUM(numeric_value) IS NOT NULL
ORDER BY 
    total_compensation_growth DESC
LIMIT 10;",,3 rows expected,
34,sql,Which economic indicators move in opposite directions?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:29:35.947475,"SELECT a.industry_name AS industry_name_a, b.industry_name AS industry_name_b
FROM industry_gdp a
JOIN industry_gdp b ON a.year = b.year AND a.industry_code < b.industry_code
WHERE a.gdp_value IS NOT NULL AND b.gdp_value IS NOT NULL
GROUP BY a.industry_name, b.industry_name
HAVING SUM(CASE WHEN a.gdp_value > 0 AND b.gdp_value < 0 THEN 1
                WHEN a.gdp_value < 0 AND b.gdp_value > 0 THEN 1
                ELSE 0 END) > 0
ORDER BY industry_name_a, industry_name_b;",,0 rows expected,
35,sql,How does wage growth compare to productivity growth across sectors?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:29:43.241954,"SELECT 
    tsd.category AS sector,
    AVG(CASE WHEN tsd.indicator_id = 'wage_growth' THEN tsd.numeric_value END) AS avg_wage_growth,
    AVG(CASE WHEN tsd.indicator_id = 'productivity_growth' THEN tsd.numeric_value END) AS avg_productivity_growth
FROM 
    time_series_data tsd
WHERE 
    tsd.indicator_id IN ('wage_growth', 'productivity_growth')
    AND tsd.numeric_value IS NOT NULL
GROUP BY 
    tsd.category
HAVING 
    COUNT(DISTINCT tsd.indicator_id) = 2
ORDER BY 
    sector;",,0 rows expected,
36,sql,Which industries show higher GDP growth rates than the national average?,hard,"industry_growth,time_series_data",0,aggregation,gpt-4o,2025-09-01T15:37:09.886702,"WITH national_gdp_growth AS (
    SELECT 
        (MAX(numeric_value) - MIN(numeric_value)) / MIN(numeric_value) * 100 AS national_growth_rate
    FROM 
        time_series_data
    WHERE 
        category = 'GDP' AND 
        numeric_value IS NOT NULL
),
industry_growth AS (
    SELECT 
        category AS industry,
        (MAX(numeric_value) - MIN(numeric_value)) / MIN(numeric_value) * 100 AS industry_growth_rate
    FROM 
        time_series_data
    WHERE 
        category != 'GDP' AND 
        numeric_value IS NOT NULL
    GROUP BY 
        category
)
SELECT 
    industry, 
    industry_growth_rate
FROM 
    industry_growth, national_gdp_growth
WHERE 
    industry_growth_rate > national_growth_rate
ORDER BY 
    industry_growth_rate DESC
LIMIT 20;",,0 rows expected,
37,sql,How do service sector contributions compare to manufacturing contributions?,medium,time_series_data,0,aggregation,gpt-4o,2025-09-01T15:37:11.646496,"SELECT 
    category,
    SUM(numeric_value) AS total_contribution
FROM 
    time_series_data
WHERE 
    category IN ('Service Sector', 'Manufacturing')
    AND numeric_value IS NOT NULL
GROUP BY 
    category
ORDER BY 
    total_contribution DESC;",,0 rows expected,
38,sql,Which industries contribute disproportionately to economic growth vs. their size?,hard,"budget_outlays,time_series_data",0,advanced,gpt-4o,2025-09-01T15:37:14.676175,"SELECT 
    tsd.category AS industry,
    SUM(tsd.numeric_value) AS total_gdp_contribution,
    bo.total_outlays,
    (SUM(tsd.numeric_value) / bo.total_outlays) AS contribution_ratio
FROM 
    time_series_data tsd
JOIN 
    (SELECT 
        function_name, 
        SUM(outlay_amount) AS total_outlays
     FROM 
        budget_outlays
     WHERE 
        function_name IS NOT NULL
     GROUP BY 
        function_name) bo
ON 
    tsd.category = bo.function_name
WHERE 
    tsd.category IS NOT NULL
    AND tsd.source = 'BEA'
GROUP BY 
    tsd.category, bo.total_outlays
HAVING 
    contribution_ratio > 1.0
ORDER BY 
    contribution_ratio DESC
LIMIT 20;",,0 rows expected,
39,sql,How do different sectors compare in terms of economic stability?,hard,"budget_outlays,time_series_data",0,advanced,gpt-4o,2025-09-01T15:37:16.676772,"SELECT 
    b.function_name AS sector,
    SUM(b.outlay_amount) AS total_outlays,
    AVG(t.numeric_value) AS average_gdp
FROM 
    budget_outlays b
JOIN 
    time_series_data t ON t.category = 'GDP'
WHERE 
    b.outlay_amount IS NOT NULL
    AND t.numeric_value IS NOT NULL
GROUP BY 
    b.function_name
HAVING 
    SUM(b.outlay_amount) > 0
ORDER BY 
    average_gdp DESC
LIMIT 10;",,0 rows expected,
40,sql,Which industries show the strongest vs. weakest GDP contributions?,medium,time_series_data,0,aggregation,gpt-4o,2025-09-01T15:37:18.377137,"SELECT 
    category AS industry, 
    SUM(numeric_value) AS total_gdp_contribution
FROM 
    time_series_data
WHERE 
    category IS NOT NULL 
    AND source = 'BEA'
GROUP BY 
    category
ORDER BY 
    total_gdp_contribution DESC
LIMIT 10;",,0 rows expected,
43,sql,How do current inflation rates compare to historical averages?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:30:18.723397,"SELECT 
    year,
    AVG(CASE WHEN category = 'Inflation Rate' THEN numeric_value END) AS current_inflation_rate,
    (SELECT AVG(numeric_value) 
     FROM time_series_data 
     WHERE category = 'Inflation Rate' 
       AND numeric_value IS NOT NULL) AS historical_average_inflation_rate
FROM 
    time_series_data
WHERE 
    category = 'Inflation Rate'
    AND numeric_value IS NOT NULL
GROUP BY 
    year
ORDER BY 
    year DESC;",,0 rows expected,
44,sql,Which spending categories show consistent vs. variable year-over-year changes?,hard,budget_outlays,100,simple_query,gpt-4o,2025-09-01T15:37:24.002200,"SELECT 
    function_name,
    fiscal_year,
    outlay_amount,
    LAG(outlay_amount) OVER (PARTITION BY function_name ORDER BY fiscal_year) AS previous_outlay,
    (outlay_amount - LAG(outlay_amount) OVER (PARTITION BY function_name ORDER BY fiscal_year)) AS change_in_outlay
FROM 
    budget_outlays
WHERE 
    outlay_amount IS NOT NULL
ORDER BY 
    function_name ASC, 
    fiscal_year ASC;",,100 rows expected,
46,sql,How do inflation rates compare to wage growth rates across different periods?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:30:30.652709,"SELECT 
    period_name AS period,
    AVG(CASE WHEN category = 'Inflation' THEN numeric_value END) AS avg_inflation_rate,
    AVG(CASE WHEN category = 'Wage Growth' THEN numeric_value END) AS avg_wage_growth_rate
FROM 
    time_series_data
WHERE 
    category IN ('Inflation', 'Wage Growth')
    AND numeric_value IS NOT NULL
GROUP BY 
    period_name
ORDER BY 
    period_name;",,0 rows expected,
47,sql,Which budget priorities shift more: defense vs. domestic spending?,hard,budget_outlays,11,advanced,gpt-4o,2025-09-01T15:37:27.634673,"SELECT 
    function_name,
    fiscal_year,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IN ('National Defense', 'Domestic Spending') 
    AND outlay_amount IS NOT NULL
GROUP BY 
    function_name, fiscal_year
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    fiscal_year ASC, total_outlays DESC;",,11 rows expected,
48,sql,How do government spending trends compare to private sector investment trends?,hard,"budget_outlays,time_series_data",0,advanced,gpt-4o,2025-09-01T15:37:29.697290,"SELECT 
    bo.fiscal_year AS year,
    SUM(bo.outlay_amount) AS total_outlays,
    AVG(tsd.numeric_value) AS avg_private_investment
FROM 
    budget_outlays bo
JOIN 
    time_series_data tsd ON tsd.category = 'Private Investment' AND tsd.source = 'BEA'
WHERE 
    bo.function_name IS NOT NULL
    AND tsd.numeric_value IS NOT NULL
GROUP BY 
    bo.fiscal_year
HAVING 
    SUM(bo.outlay_amount) > 0
    AND AVG(tsd.numeric_value) > 0
ORDER BY 
    year DESC
LIMIT 10;",,0 rows expected,
49,sql,Which economic indicators show stronger correlation with GDP growth?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:30:46.937670,"SELECT 
    industry_name AS economic_indicator,
    AVG(gdp_value) AS average_gdp_value
FROM 
    industry_gdp
WHERE 
    gdp_value IS NOT NULL
GROUP BY 
    industry_name
HAVING 
    COUNT(year) > 1
ORDER BY 
    average_gdp_value DESC
LIMIT 10;",,0 rows expected,
50,sql,How do federal budget compositions compare across different presidential administrations?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:37:33.469812,"SELECT 
    function_name, 
    fiscal_year, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name, fiscal_year
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    fiscal_year ASC, total_outlays DESC
LIMIT 20;",,20 rows expected,
51,sql,Which government functions show the best spending efficiency trends?,hard,budget_outlays,100,aggregation,gpt-4o,2025-09-02T09:31:00.912695,"SELECT 
    function_name AS government_function,
    fiscal_year,
    SUM(outlay_amount) AS total_outlay,
    AVG(outlay_amount) OVER (PARTITION BY function_name ORDER BY fiscal_year) AS avg_outlay_trend
FROM 
    budget_outlays
WHERE 
    outlay_amount IS NOT NULL
GROUP BY 
    function_name, fiscal_year
ORDER BY 
    government_function, fiscal_year;",,100 rows expected,
52,sql,How do administrative costs compare across different departments?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:37:37.611496,"SELECT 
    function_name AS department,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
53,sql,Which economic policies show measurable impact in the spending data?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:37:39.426075,"SELECT 
    function_name AS policy_name, 
    fiscal_year, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL 
    AND fiscal_year IS NOT NULL 
    AND outlay_amount IS NOT NULL
GROUP BY 
    function_name, 
    fiscal_year
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
54,sql,How do projected vs. actual spending figures compare across categories?,hard,"budget_outlays,time_series_data",0,advanced,gpt-4o,2025-09-01T15:37:41.842302,"SELECT 
    b.function_name AS category,
    SUM(b.outlay_amount) AS total_outlays,
    t.numeric_value AS projected_spending,
    SUM(b.outlay_amount) - t.numeric_value AS difference
FROM 
    budget_outlays b
JOIN 
    time_series_data t ON b.function_name = t.category
WHERE 
    b.fiscal_year IS NOT NULL
    AND b.outlay_amount IS NOT NULL
    AND t.numeric_value IS NOT NULL
    AND t.source = 'Projected'
GROUP BY 
    b.function_name, t.numeric_value
HAVING 
    ABS(SUM(b.outlay_amount) - t.numeric_value) > 0
ORDER BY 
    ABS(SUM(b.outlay_amount) - t.numeric_value) DESC
LIMIT 20;",,0 rows expected,
55,sql,Which budget categories show the most vs. least predictable spending patterns?,hard,budget_outlays,10,advanced,gpt-4o,2025-09-02T09:31:18.339536,"SELECT 
    function_name AS budget_category,
    AVG(outlay_amount) AS average_outlay,
    COUNT(DISTINCT fiscal_year) AS years_count,
    SUM(outlay_amount) AS total_outlay,
    (MAX(outlay_amount) - MIN(outlay_amount)) / NULLIF(AVG(outlay_amount), 0) AS variability_index
FROM 
    budget_outlays
WHERE 
    outlay_amount IS NOT NULL
GROUP BY 
    function_name
HAVING 
    years_count > 1
ORDER BY 
    variability_index ASC
LIMIT 10;",,10 rows expected,
56,sql,How has the composition of federal spending changed over the past decade?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:37:46.976430,"SELECT 
    fiscal_year, 
    function_name, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    fiscal_year BETWEEN strftime('%Y', 'now', '-10 years') AND strftime('%Y', 'now')
    AND function_name IS NOT NULL
GROUP BY 
    fiscal_year, 
    function_name
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    fiscal_year ASC, 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
57,sql,Which economic indicators show clear seasonal patterns?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:31:30.808995,"SELECT 
    industry_name, 
    AVG(gdp_value) AS average_gdp, 
    COUNT(DISTINCT year) AS year_count
FROM 
    industry_gdp
WHERE 
    gdp_value IS NOT NULL
GROUP BY 
    industry_name
HAVING 
    year_count > 1 AND 
    AVG(gdp_value) > 0
ORDER BY 
    average_gdp DESC;",,0 rows expected,
58,sql,What long-term trends are evident in healthcare vs. education spending?,medium,budget_outlays,11,aggregation,gpt-4o,2025-09-01T15:37:50.839759,"SELECT 
    function_name, 
    fiscal_year, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IN ('Health', 'Education') 
    AND outlay_amount IS NOT NULL
GROUP BY 
    function_name, fiscal_year
ORDER BY 
    function_name, fiscal_year ASC;",,11 rows expected,
60,function,How do economic cycles affect different types of government spending?,easy,query_budget_data,1,single,single_query,,,"[{""function_name"": ""query_budget_data"", ""arguments"": {""year_range"": [2014, 2024]}, ""expected_response"": {""status"": ""success"", ""data_type"": ""budget"", ""records_returned"": 150, ""query_parameters"": {""year_range"": [2014, 2024]}, ""execution_time"": ""0.8s""}, ""response_type"": ""data""}]",,"Correct function selected for budget data query,Function arguments match question requirements,Query executes successfully"
62,sql,Which spending categories increase during recession periods?,hard,budget_outlays,3,advanced,gpt-4o,2025-09-02T09:31:52.303698,"SELECT 
    function_name AS spending_category,
    fiscal_year,
    SUM(outlay_amount) AS total_outlay
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
    AND fiscal_year IN (2008, 2009, 2020) -- Example recession years
GROUP BY 
    function_name, fiscal_year
HAVING 
    SUM(outlay_amount) > (
        SELECT 
            AVG(total_outlay)
        FROM (
            SELECT 
                function_name,
                SUM(outlay_amount) AS total_outlay
            FROM 
                budget_outlays
            WHERE 
                function_name IS NOT NULL
                AND fiscal_year NOT IN (2008, 2009, 2020)
            GROUP BY 
                function_name
        ) AS avg_outlay
    )
ORDER BY 
    function_name, fiscal_year;",,3 rows expected,
63,function,How do quarterly employment patterns vary across different industries?,easy,query_economic_data,1,single,single_query,,,"[{""function_name"": ""query_economic_data"", ""arguments"": {""source"": ""BLS"", ""indicator_type"": ""employment"", ""year_range"": [2014, 2024]}, ""expected_response"": {""status"": ""success"", ""data_type"": ""economic"", ""records_returned"": 200, ""query_parameters"": {""source"": ""BLS"", ""indicator_type"": ""employment"", ""year_range"": [2014, 2024]}, ""execution_time"": ""1.2s""}, ""response_type"": ""data""}]",,"Correct function selected for economic data query,Function arguments match question requirements,Query executes successfully"
64,sql,Which economic indicators show predictable annual cycles?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:31:58.152397,"SELECT 
    industry_name AS economic_indicator,
    COUNT(DISTINCT year) AS cycle_years_count,
    AVG(gdp_value * unit_multiplier) AS average_gdp_value
FROM 
    industry_gdp
WHERE 
    gdp_value IS NOT NULL
GROUP BY 
    industry_name
HAVING 
    COUNT(DISTINCT year) > 1
ORDER BY 
    cycle_years_count DESC, average_gdp_value DESC;",,0 rows expected,
65,sql,What patterns emerge in budget allocations during election years?,hard,budget_outlays,22,advanced,claude-sonnet-4-20250514,2025-09-01T18:45:29.748187,"SELECT 
    fiscal_year,
    CASE WHEN fiscal_year % 4 = 0 THEN 'Election Year' ELSE 'Non-Election Year' END AS year_type,
    SUM(outlay_amount) AS total_budget_outlays,
    COUNT(DISTINCT function_name) AS number_of_functions,
    AVG(outlay_amount) AS avg_outlay_per_function,
    MAX(outlay_amount) AS largest_single_outlay,
    function_name AS largest_outlay_function
FROM budget_outlays b1
WHERE outlay_amount IS NOT NULL
    AND fiscal_year >= 2000
    AND outlay_amount = (
        SELECT MAX(b2.outlay_amount) 
        FROM budget_outlays b2 
        WHERE b2.fiscal_year = b1.fiscal_year
    )
GROUP BY fiscal_year, year_type, function_name
ORDER BY fiscal_year DESC;",,22 rows expected,
66,sql,When do wage growth and productivity growth move in opposite directions?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:32:12.015411,"SELECT 
    tsd.year,
    tsd.period_name,
    SUM(CASE WHEN tsd.indicator_id = 'wage_growth' THEN tsd.numeric_value ELSE 0 END) AS total_wage_growth,
    SUM(CASE WHEN tsd.indicator_id = 'productivity_growth' THEN tsd.numeric_value ELSE 0 END) AS total_productivity_growth
FROM 
    time_series_data tsd
WHERE 
    tsd.indicator_id IN ('wage_growth', 'productivity_growth')
    AND tsd.numeric_value IS NOT NULL
GROUP BY 
    tsd.year, tsd.period_name
HAVING 
    (SUM(CASE WHEN tsd.indicator_id = 'wage_growth' THEN tsd.numeric_value ELSE 0 END) > 0 
     AND SUM(CASE WHEN tsd.indicator_id = 'productivity_growth' THEN tsd.numeric_value ELSE 0 END) < 0)
    OR 
    (SUM(CASE WHEN tsd.indicator_id = 'wage_growth' THEN tsd.numeric_value ELSE 0 END) < 0 
     AND SUM(CASE WHEN tsd.indicator_id = 'productivity_growth' THEN tsd.numeric_value ELSE 0 END) > 0)
ORDER BY 
    tsd.year, tsd.period_name;",,0 rows expected,
